Database,Publisher,User_Activity,2013 S2 (Summer),2013 S3 (Fall),2014 S1 (Spring),2014 S2 (Summer),2014 S3 (Fall),2015 S1 (Spring),2015 S2 (Summer),2015 S3 (Fall),2016 S1 (Spring),2016 S2 (Summer),2016 S3 (Fall),2017 S1 (Spring)
Music Online: Opera in Video,Alexander Street Press,Record Views,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15,NA
Music Online: Opera in Video,Alexander Street Press,Regular Searches,NA,NA,NA,NA,NA,NA,NA,NA,0,0,146,NA
Music Online: Opera in Video,Alexander Street Press,Result Clicks,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,NA
Music Online: Opera in Video,Alexander Street Press,Searches-federated and automated,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Record Views,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Regular Searches,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,NA
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Result Clicks,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Searches-federated and automated,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
Naxos Music Library,EBSCO,Record Views,NA,NA,NA,0,0,1,1,11,7,7,8,0
Naxos Music Library,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
Naxos Music Library,EBSCO,Result Clicks,NA,NA,NA,0,1,1,2,13,12,9,20,0
Naxos Music Library,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,1129,1186,3891,2900,1320,4337,1788
Naxos Music Library Jazz,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Naxos Music Library Jazz,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Naxos Music Library Jazz,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Naxos Music Library Jazz,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Naxos Spoken Word Library,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Naxos Spoken Word Library,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Naxos Spoken Word Library,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Naxos Spoken Word Library,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Naxos Video Library,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Naxos Video Library,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Naxos Video Library,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Naxos Video Library,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
NBC Learn Higher Ed,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
NBC Learn Higher Ed,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
NBC Learn Higher Ed,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
NBC Learn Higher Ed,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
NBC Learn K-12,EBSCO,Record Views,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA
NBC Learn K-12,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
NBC Learn K-12,EBSCO,Result Clicks,NA,NA,NA,0,0,2,0,0,NA,NA,NA,NA
NBC Learn K-12,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,71,0,0,NA,NA,NA,NA
New Testament Abstracts,EBSCO,Record Views,0,114,209,34,107,105,5,40,53,16,141,40
New Testament Abstracts,EBSCO,Regular Searches,0,1187,947,409,1050,1668,205,956,1027,506,864,414
New Testament Abstracts,EBSCO,Result Clicks,0,187,340,47,161,162,9,75,98,40,244,71
New Testament Abstracts,EBSCO,Searches-federated and automated,0,0,3,0,78,0,3832,19290,16531,8767,20924,14333
Newnonmun – 뉴논문,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Newnonmun – 뉴논문,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Newnonmun – 뉴논문,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Newnonmun – 뉴논문,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
NewsBank,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
NewsBank,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
NewsBank,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
NewsBank,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
NewsBank - Archives,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
NewsBank - Archives,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
NewsBank - Archives,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
NewsBank - Archives,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Newspaper Source,EBSCO,Record Views,3,14,11,1,5,43,9,16,27,4,30,5
Newspaper Source,EBSCO,Regular Searches,296,1237,616,393,1003,1756,198,923,947,500,794,388
Newspaper Source,EBSCO,Result Clicks,6,37,25,3,12,86,30,45,64,16,63,9
Newspaper Source,EBSCO,Searches-federated and automated,39,0,3,0,80,1122,1032,3095,2104,1045,3529,1236
Newswires,EBSCO,Record Views,NA,NA,NA,0,0,3,1,0,1,1,6,0
Newswires,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
Newswires,EBSCO,Result Clicks,NA,NA,NA,0,0,3,1,0,1,1,8,0
Newswires,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,1122,1028,3070,2086,1032,3503,1233
NHS Economic Evaluation Database,EBSCO,Record Views,0,0,0,0,0,0,0,0,0,0,0,0
NHS Economic Evaluation Database,EBSCO,Regular Searches,292,341,0,298,963,1495,195,911,932,501,684,381
NHS Economic Evaluation Database,EBSCO,Result Clicks,0,1,0,0,0,1,0,0,0,0,0,0
NHS Economic Evaluation Database,EBSCO,Searches-federated and automated,39,0,0,0,80,69,0,0,0,4,0,0
Nursing Education in Video,Alexander Street Press,Record Views,0,0,2,100,248,124,96,84,239,145,65,NA
Nursing Education in Video,Alexander Street Press,Regular Searches,0,0,5,13,208,36,9,43,20,16,42,NA
Nursing Education in Video,Alexander Street Press,Result Clicks,0,0,0,4,128,24,14,4,14,1,6,NA
Nursing Education in Video,Alexander Street Press,Searches-federated and automated,0,0,0,0,0,0,0,0,0,0,0,NA
"Nursing Education in Video, 2013",Alexander Street Press,Record Views,0,0,0,1,32,15,4,8,28,4,12,NA
"Nursing Education in Video, 2013",Alexander Street Press,Regular Searches,0,0,5,13,208,36,9,43,20,16,42,NA
