Database,Publisher,User_Activity,2013,2014,2015,2016,2017
Bibliotheksverbund Bayern,EBSCO,Result Clicks,NA,1,0,NA,NA
Bibliotheksverbund Bayern,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
BioOne Online Journals,EBSCO,Record Views,NA,0,0,0,0
BioOne Online Journals,EBSCO,Regular Searches,NA,0,0,0,0
BioOne Online Journals,EBSCO,Result Clicks,NA,0,0,2,0
BioOne Online Journals,EBSCO,Searches-federated and automated,NA,80,5225,6625,1234
Books at JSTOR,EBSCO,Record Views,NA,3,5,NA,NA
Books at JSTOR,EBSCO,Regular Searches,NA,0,0,NA,NA
Books at JSTOR,EBSCO,Result Clicks,NA,4,13,NA,NA
Books at JSTOR,EBSCO,Searches-federated and automated,NA,80,219,NA,NA
Books24x7,EBSCO,Record Views,NA,0,0,NA,NA
Books24x7,EBSCO,Regular Searches,NA,0,0,NA,NA
Books24x7,EBSCO,Result Clicks,NA,0,0,NA,NA
Books24x7,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Brandel Books,EBSCO,Record Views,NA,0,293,306,131
Brandel Books,EBSCO,Regular Searches,NA,0,0,0,0
Brandel Books,EBSCO,Result Clicks,NA,0,332,345,128
Brandel Books,EBSCO,Searches-federated and automated,NA,0,4894,6700,1257
Brandel Media,EBSCO,Record Views,NA,0,301,233,182
Brandel Media,EBSCO,Regular Searches,NA,0,0,0,0
Brandel Media,EBSCO,Result Clicks,NA,0,316,239,190
Brandel Media,EBSCO,Searches-federated and automated,NA,0,5874,3884,1799
Bridgeman Education,EBSCO,Record Views,NA,0,0,NA,NA
Bridgeman Education,EBSCO,Regular Searches,NA,0,0,NA,NA
Bridgeman Education,EBSCO,Result Clicks,NA,0,0,NA,NA
Bridgeman Education,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Britannica Online,EBSCO,Record Views,NA,0,0,NA,NA
Britannica Online,EBSCO,Regular Searches,NA,0,0,NA,NA
Britannica Online,EBSCO,Result Clicks,NA,0,0,NA,NA
Britannica Online,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
British Library Document Supply Centre Inside Serials & Conference Proceedings,EBSCO,Record Views,NA,0,0,NA,NA
British Library Document Supply Centre Inside Serials & Conference Proceedings,EBSCO,Regular Searches,NA,0,0,NA,NA
British Library Document Supply Centre Inside Serials & Conference Proceedings,EBSCO,Result Clicks,NA,0,0,NA,NA
British Library Document Supply Centre Inside Serials & Conference Proceedings,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
British Library EThOS,EBSCO,Record Views,NA,0,0,NA,NA
British Library EThOS,EBSCO,Regular Searches,NA,0,0,NA,NA
British Library EThOS,EBSCO,Result Clicks,NA,0,0,NA,NA
British Library EThOS,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
British Standards Online,EBSCO,Record Views,NA,0,0,NA,NA
