Database,Publisher,Platform,Notes,Fund,Ordering_Site,Ordering_Cycle,2013,2014,2015,2016,2017
Minority Health Archive,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Mintel Oxygen Reports,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
MLA Directory of Periodicals,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
MLA International Bibliography,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Music Online: Opera in Video,Alexander Street Press,Alexander Street Press Platform,,,,Fiscal Year,NA,NA,NA,,NA
Music Online: The Garland Encyclopedia of World Music,Alexander Street Press,Alexander Street Press Platform,,,,Fiscal Year,NA,NA,NA,,NA
Naxos Music Library,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Naxos Music Library Jazz,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Naxos Spoken Word Library,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Naxos Video Library,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
NBC Learn Higher Ed,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
NBC Learn K-12,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
New Testament Abstracts,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Newnonmun – 뉴논문,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
NewsBank,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
NewsBank - Archives,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Newspaper Source,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Newswires,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
NHS Economic Evaluation Database,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Nursing Education in Video,Alexander Street Press,Alexander Street Press Platform,,,,Fiscal Year,,,,,NA
"Nursing Education in Video, 2013",Alexander Street Press,Alexander Street Press Platform,,,,Fiscal Year,,,,,NA
Nursing Reference Center,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
OAIster,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
OAPEN Library,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Old Testament Abstracts,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Opera in Video,Alexander Street Press,Alexander Street Press Platform,,,,Fiscal Year,,,,,NA
Opposing Viewpoints in Context,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Ovid MEDLINE(R),U.S. National Library of Medicine,OvidSP,,,,Fiscal Year,NA,,,,NA
Oxford's Who's Who & Who Was Who,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Oxford African American Studies Center,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Oxford Biblical Studies Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Oxford Bibliographies,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Oxford Dictionary of National Biography,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Oxford Handbooks Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Oxford Islamic Studies Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Oxford Medicine Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Oxford Reference,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Oxford Scholarly Editions Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Oxford Scholarship Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Persée,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
