Database,Publisher,Platform,Notes,Fund,Ordering_Site,Ordering_Cycle,2013,2014,2015,2016,2017
RACO,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
RAMBI,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
RCAAP,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
ReadEx,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,NA,NA,NA
RECERCAT,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Regional Business News,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,,,,,
Research Starters,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,EBSCOhost,,Core Database,,Fiscal Year,,,2658.3,2844.38,2986.59
Rivisteweb,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Rock's Backpages,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Roubini Global Economics,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
SA ePublications Service,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
ScholarVox,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
SciELO,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
ScienceDirect,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
SciTech Connect,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,,
Small Engine Repair Reference Center,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
SocINDEX with Full Text,EBSCO,EBSCOhost,,Core Database,,Fiscal Year,NA,,,5755.98,5986.21
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,,,NA,NA
Spanish Patient Education,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
SPORTDiscus with Full Text,EBSCO,EBSCOhost,,EDS Search,,Fiscal Year,NA,NA,NA,,
